"period_type","fiscal_year_be","period_order","period_label","risk_code","risk_name","risk_order","total_hn"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0280","เสี่ยงต่ำ","1","141"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0281","เสี่ยงปานกลาง","2","16"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0282","เสี่ยงสูง","3","1"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0283","เสี่ยงสูงมาก","4","2"
"ไตรมาส","2566","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","31"
"ไตรมาส","2566","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","5"
"ไตรมาส","2566","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2566","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","1"
"ไตรมาส","2566","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","43"
"ไตรมาส","2566","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","4"
"ไตรมาส","2566","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","1"
"ไตรมาส","2566","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2566","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","30"
"ไตรมาส","2566","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","4"
"ไตรมาส","2566","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2566","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2566","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","30"
"ไตรมาส","2566","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","3"
"ไตรมาส","2566","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2566","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","1"
"เดือน","2566","1","ตุลาคม","Z0280","เสี่ยงต่ำ","1","14"
"เดือน","2566","1","ตุลาคม","Z0281","เสี่ยงปานกลาง","2","3"
"เดือน","2566","1","ตุลาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","1","ตุลาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","2","พฤศจิกายน","Z0280","เสี่ยงต่ำ","1","11"
"เดือน","2566","2","พฤศจิกายน","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","2","พฤศจิกายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","2","พฤศจิกายน","Z0283","เสี่ยงสูงมาก","4","1"
"เดือน","2566","3","ธันวาคม","Z0280","เสี่ยงต่ำ","1","5"
"เดือน","2566","3","ธันวาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","3","ธันวาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","3","ธันวาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","4","มกราคม","Z0280","เสี่ยงต่ำ","1","9"
"เดือน","2566","4","มกราคม","Z0281","เสี่ยงปานกลาง","2","3"
"เดือน","2566","4","มกราคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","4","มกราคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","5","กุมภาพันธ์","Z0280","เสี่ยงต่ำ","1","15"
"เดือน","2566","5","กุมภาพันธ์","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2566","5","กุมภาพันธ์","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","5","กุมภาพันธ์","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","6","มีนาคม","Z0280","เสี่ยงต่ำ","1","19"
"เดือน","2566","6","มีนาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","6","มีนาคม","Z0282","เสี่ยงสูง","3","1"
"เดือน","2566","6","มีนาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","7","เมษายน","Z0280","เสี่ยงต่ำ","1","6"
"เดือน","2566","7","เมษายน","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","7","เมษายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","7","เมษายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","8","พฤษภาคม","Z0280","เสี่ยงต่ำ","1","11"
"เดือน","2566","8","พฤษภาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","8","พฤษภาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","8","พฤษภาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","9","มิถุนายน","Z0280","เสี่ยงต่ำ","1","13"
"เดือน","2566","9","มิถุนายน","Z0281","เสี่ยงปานกลาง","2","2"
"เดือน","2566","9","มิถุนายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","9","มิถุนายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","10","กรกฎาคม","Z0280","เสี่ยงต่ำ","1","12"
"เดือน","2566","10","กรกฎาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","10","กรกฎาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","10","กรกฎาคม","Z0283","เสี่ยงสูงมาก","4","1"
"เดือน","2566","11","สิงหาคม","Z0280","เสี่ยงต่ำ","1","12"
"เดือน","2566","11","สิงหาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","11","สิงหาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","11","สิงหาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2566","12","กันยายน","Z0280","เสี่ยงต่ำ","1","4"
"เดือน","2566","12","กันยายน","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2566","12","กันยายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2566","12","กันยายน","Z0283","เสี่ยงสูงมาก","4","0"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0280","เสี่ยงต่ำ","1","74"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0281","เสี่ยงปานกลาง","2","4"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0282","เสี่ยงสูง","3","0"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","21"
"ไตรมาส","2567","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","2"
"ไตรมาส","2567","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","26"
"ไตรมาส","2567","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","1"
"ไตรมาส","2567","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","6"
"ไตรมาส","2567","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","1"
"ไตรมาส","2567","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","8"
"ไตรมาส","2567","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2567","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","1","ตุลาคม","Z0280","เสี่ยงต่ำ","1","11"
"เดือน","2567","1","ตุลาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2567","1","ตุลาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","1","ตุลาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","2","พฤศจิกายน","Z0280","เสี่ยงต่ำ","1","7"
"เดือน","2567","2","พฤศจิกายน","Z0281","เสี่ยงปานกลาง","2","2"
"เดือน","2567","2","พฤศจิกายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","2","พฤศจิกายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","3","ธันวาคม","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2567","3","ธันวาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","3","ธันวาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","3","ธันวาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","4","มกราคม","Z0280","เสี่ยงต่ำ","1","7"
"เดือน","2567","4","มกราคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","4","มกราคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","4","มกราคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","5","กุมภาพันธ์","Z0280","เสี่ยงต่ำ","1","9"
"เดือน","2567","5","กุมภาพันธ์","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","5","กุมภาพันธ์","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","5","กุมภาพันธ์","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","6","มีนาคม","Z0280","เสี่ยงต่ำ","1","9"
"เดือน","2567","6","มีนาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","6","มีนาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","6","มีนาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","7","เมษายน","Z0280","เสี่ยงต่ำ","1","1"
"เดือน","2567","7","เมษายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","7","เมษายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","7","เมษายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","8","พฤษภาคม","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2567","8","พฤษภาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2567","8","พฤษภาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","8","พฤษภาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","9","มิถุนายน","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2567","9","มิถุนายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","9","มิถุนายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","9","มิถุนายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","10","กรกฎาคม","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2567","10","กรกฎาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","10","กรกฎาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","10","กรกฎาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","11","สิงหาคม","Z0280","เสี่ยงต่ำ","1","1"
"เดือน","2567","11","สิงหาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","11","สิงหาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","11","สิงหาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","12","กันยายน","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2567","12","กันยายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","12","กันยายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","12","กันยายน","Z0283","เสี่ยงสูงมาก","4","0"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0280","เสี่ยงต่ำ","1","133"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0281","เสี่ยงปานกลาง","2","0"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0282","เสี่ยงสูง","3","0"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0283","เสี่ยงสูงมาก","4","10"
"ไตรมาส","2568","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","35"
"ไตรมาส","2568","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2568","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","32"
"ไตรมาส","2568","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","1"
"ไตรมาส","2568","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","19"
"ไตรมาส","2568","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","8"
"ไตรมาส","2568","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","34"
"ไตรมาส","2568","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","1","ตุลาคม","Z0280","เสี่ยงต่ำ","1","15"
"เดือน","2568","1","ตุลาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","1","ตุลาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","1","ตุลาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","2","พฤศจิกายน","Z0280","เสี่ยงต่ำ","1","7"
"เดือน","2568","2","พฤศจิกายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","2","พฤศจิกายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","2","พฤศจิกายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","3","ธันวาคม","Z0280","เสี่ยงต่ำ","1","13"
"เดือน","2568","3","ธันวาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","3","ธันวาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","3","ธันวาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","4","มกราคม","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2568","4","มกราคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","4","มกราคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","4","มกราคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","5","กุมภาพันธ์","Z0280","เสี่ยงต่ำ","1","17"
"เดือน","2568","5","กุมภาพันธ์","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","5","กุมภาพันธ์","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","5","กุมภาพันธ์","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","6","มีนาคม","Z0280","เสี่ยงต่ำ","1","11"
"เดือน","2568","6","มีนาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","6","มีนาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","6","มีนาคม","Z0283","เสี่ยงสูงมาก","4","1"
"เดือน","2568","7","เมษายน","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2568","7","เมษายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","7","เมษายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","7","เมษายน","Z0283","เสี่ยงสูงมาก","4","4"
"เดือน","2568","8","พฤษภาคม","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2568","8","พฤษภาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","8","พฤษภาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","8","พฤษภาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","9","มิถุนายน","Z0280","เสี่ยงต่ำ","1","12"
"เดือน","2568","9","มิถุนายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","9","มิถุนายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","9","มิถุนายน","Z0283","เสี่ยงสูงมาก","4","4"
"เดือน","2568","10","กรกฎาคม","Z0280","เสี่ยงต่ำ","1","22"
"เดือน","2568","10","กรกฎาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","10","กรกฎาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","10","กรกฎาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","11","สิงหาคม","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2568","11","สิงหาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","11","สิงหาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","11","สิงหาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","12","กันยายน","Z0280","เสี่ยงต่ำ","1","8"
"เดือน","2568","12","กันยายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","12","กันยายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","12","กันยายน","Z0283","เสี่ยงสูงมาก","4","0"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0280","เสี่ยงต่ำ","1","375"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0281","เสี่ยงปานกลาง","2","38"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0282","เสี่ยงสูง","3","3"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0283","เสี่ยงสูงมาก","4","2"
"ไตรมาส","2569","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","74"
"ไตรมาส","2569","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2569","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2569","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2569","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","192"
"ไตรมาส","2569","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","16"
"ไตรมาส","2569","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2569","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","2"
"ไตรมาส","2569","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","99"
"ไตรมาส","2569","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","19"
"ไตรมาส","2569","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","3"
"ไตรมาส","2569","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2569","1","ตุลาคม","Z0280","เสี่ยงต่ำ","1","4"
"เดือน","2569","1","ตุลาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2569","1","ตุลาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2569","1","ตุลาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2569","2","พฤศจิกายน","Z0280","เสี่ยงต่ำ","1","11"
"เดือน","2569","2","พฤศจิกายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2569","2","พฤศจิกายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2569","2","พฤศจิกายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2569","3","ธันวาคม","Z0280","เสี่ยงต่ำ","1","59"
"เดือน","2569","3","ธันวาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2569","3","ธันวาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2569","3","ธันวาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2569","4","มกราคม","Z0280","เสี่ยงต่ำ","1","74"
"เดือน","2569","4","มกราคม","Z0281","เสี่ยงปานกลาง","2","4"
"เดือน","2569","4","มกราคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2569","4","มกราคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2569","5","กุมภาพันธ์","Z0280","เสี่ยงต่ำ","1","86"
"เดือน","2569","5","กุมภาพันธ์","Z0281","เสี่ยงปานกลาง","2","11"
"เดือน","2569","5","กุมภาพันธ์","Z0282","เสี่ยงสูง","3","0"
"เดือน","2569","5","กุมภาพันธ์","Z0283","เสี่ยงสูงมาก","4","2"
"เดือน","2569","6","มีนาคม","Z0280","เสี่ยงต่ำ","1","27"
"เดือน","2569","6","มีนาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2569","6","มีนาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2569","6","มีนาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2569","7","เมษายน","Z0280","เสี่ยงต่ำ","1","32"
"เดือน","2569","7","เมษายน","Z0281","เสี่ยงปานกลาง","2","4"
"เดือน","2569","7","เมษายน","Z0282","เสี่ยงสูง","3","1"
"เดือน","2569","7","เมษายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2569","8","พฤษภาคม","Z0280","เสี่ยงต่ำ","1","65"
"เดือน","2569","8","พฤษภาคม","Z0281","เสี่ยงปานกลาง","2","15"
"เดือน","2569","8","พฤษภาคม","Z0282","เสี่ยงสูง","3","2"
"เดือน","2569","8","พฤษภาคม","Z0283","เสี่ยงสูงมาก","4","0"
